distrito,entidad,ganador_2018,pan_2018_%,pri_2018_%,morena_2018_%,pan_2015_%,pri_2015_%,morena_2015_%,candidato_pan,candidato_pri,candidato_morena,pobreza_2015_%,pobreza_extrema_2015_%,diff_pan,diff_pri,diff_morena
1,1,PAN,0.298100928,0.198328144,0.249774187,0.296761658,0.300490377,0.03034789,FRANCISCO JAVIER LUEVANO NUÑEZ,NORMA ESPARZA HERRERA,RAFAEL CALDERON ZAMARRIPA,0.460639,0.0330417,0.00133927,-0.102162233,0.219426297
2,1,MORENA,0.286192122,0.183908516,0.297148995,0.296735529,0.278264868,0.0654559,LEONARDO MONTAÑEZ CASTRO,JOSE CARLOS LOZANO RIVERA RIO,ELBA LORENA TORRES DIAZ,0.26113,0.015845,-0.010543407,-0.094356352,0.231693095
3,1,PAN,0.379467306,0.182393645,0.236020643,0.349661831,0.276645102,0.063165719,MARTHA ELISA GONZALEZ ESTRADA,LIZETTE IVON GONZALEZ MARTINEZ,DULCE MARGARITA ARELLANO GOURCY,0.26113,0.015845,0.029805475,-0.094251457,0.172854924
1,2,MORENA,0.219954482,0.071227184,0.480654695,0.323353744,0.17143788,0.098386949,DAVID DE LA ROSA ANAYA,CELESTINO SALCEDO FLORES,JESUS SALVADOR MINOR MORA,0.2568,0.017329,-0.103399262,-0.100210696,0.382267746
2,2,MORENA,0.237780655,0.104520115,0.439248952,0.279463768,0.133150598,0.094448706,MONICA BEDOYA SERNA,JOSE LAURO ARESTEGUI VERDUGO,MARINA DEL PILAR AVILA OLMEDA,0.2568,0.017329,-0.041683113,-0.028630483,0.344800246
3,2,MORENA,0.177583737,0.125903529,0.403424935,0.227519699,0.193258485,0.151478086,JACINTO SANCHEZ CARO,GENESIS MARQUEZ RUBALCAVA,ARMANDO REYES LEDESMA,0.335033,0.035037,-0.049935962,-0.067354956,0.251946849
4,2,MORENA,0.12561387,0.055277736,0.607201989,0.276732991,0.150655366,0.156063196,RICARDO MAGAÑA MOSQUEDA,VIANCCA LIZBETH BARRETO GONZALEZ,SOCORRO IRMA ANDAZOLA GOMEZ,0.294737,0.018265,-0.151119121,-0.09537763,0.451138793
5,2,MORENA,0.22482004,0.089352564,0.480959157,0.314674092,0.160885202,0.156669954,ROSALBA LOPEZ REGALADO,MIGUEL ANGEL BADIOLA MONTAÑO,MARIO ISMAEL MORENO GIL,0.294737,0.018265,-0.089854052,-0.071532638,0.324289203
6,2,MORENA,0.190522713,0.095885383,0.491783189,0.289037227,0.159065469,0.151383825,ADRIANA GUADALUPE SANCHEZ MARTINEZ,ANA ERIKA SANTANA GONZALEZ,JAVIER JULIAN CASTAÑEDA POMPOSO,0.294737,0.018265,-0.098514514,-0.063180086,0.340399364
7,2,MORENA,0.176485593,0.106443059,0.480586585,0.300266062,0.207587702,0.100029562,JUAN RAMON LOPEZ NARANJO,ADRIANA LOPEZ QUINTERO,ERIK ISAAC MORALES ELVIRA,0.3091155,0.02450325,-0.123780469,-0.101144643,0.380557023
8,2,MORENA,0.128423014,0.07719637,0.563599728,0.288753773,0.229149029,0.128111718,DAVID SAÚL GUAKIL,JORGE MARIO MADRIGAL SILVA,HECTOR RENE CRUZ APARICIO,0.294737,0.018265,-0.160330759,-0.151952659,0.43548801
1,3,MORENA,0.263445577,0.103916793,0.403788657,0.416578663,0.279031564,0.058799755,VENUSTIANO PEREZ SANCHEZ,MARIA ISABEL DE LA PEÑA ANGULO,ANA RUTH GARCIA GRANDE,0.33052725,0.02595425,-0.153133086,-0.175114771,0.344988902
2,3,MORENA,0.227877171,0.054745764,0.405617419,0.39487206,0.168217135,0.066031286,EDA MARIA PALACIOS MARQUEZ,JESÚS FLORES ROMERO,ALFREDO PORRAS DOMINGUEZ,0.259209,0.0237325,-0.166994889,-0.113471371,0.339586133
1,4,MORENA,0.15203119,0.288425223,0.33594233,0.263690395,0.325106241,0.153930302,MANUEL HUMBERTO SANTOS CUITUNY,JORGE ALBERTO CHANONA ECHEVERRIA,CARLOS ENRIQUE MARTÍNEZ AKE,0.5732725,0.126517833,-0.111659205,-0.036681018,0.182012028
2,4,MORENA,0.135288584,0.226012017,0.446346433,0.413712234,0.301592758,0.1064818,ILEANA JANNETTE HERRERA PEREZ,DULCE MARIA CERVERA CETINA,IRASEMA DEL CARMEN BUENFIL DIAZ,0.5467128,0.116586,-0.27842365,-0.075580741,0.339864633
1,5,PAN,0.292305776,0.285898436,0.216430521,0.215756295,0.497945742,0.052759356,EVARISTO LENIN PÉREZ RIVERA,JESUS MARIO FLORES GARZA,CLAUDIA ANDRADE ELIZALDE,0.294842556,0.022930222,0.076549481,-0.212047306,0.163671165
2,5,MORENA,0.192887372,0.310608261,0.3269143,0.136525451,0.538696852,0.055579528,MARTHA MARCELA MARCOS WONG,RICARDO FLAVIO AGUIRRE GUTIERREZ,FRANCISCO JAVIER BORREGO ADAME,0.275574692,0.023214538,0.056361921,-0.228088591,0.271334772
3,5,MORENA,0.257013656,0.266990194,0.320397257,0.262837968,0.482669144,0.039947463,SILVIA GUADALUPE GARZA GALVÁN,MARIA GUADALUPE MURGUIA CARRANZA,MELBA NELIA FARIAS ZAMBRANO,0.265291385,0.021813,-0.005824312,-0.21567895,0.280449794
4,5,PRI,0.274612672,0.30923016,0.260358413,0.251587503,0.457679033,0.043942088,ISIDRO LÓPEZ VILLARREAL,MARTHA HORTENCIA GARAY CADENA,JESUS ARTURO DEL BOSQUE DE LA PEÑA,0.292857,0.0299755,0.023025169,-0.148448873,0.216416325
5,5,PAN,0.342037868,0.25451293,0.291647483,0.333888482,0.363973971,0.065174032,LUIS FERNANDO SALAZAR FERNÁNDEZ,OLIVIA MARTINEZ LEYVA,MA DEL ROSARIO PEREZ DENA,0.261605,0.027792,0.008149386,-0.109461041,0.226473451
6,5,MORENA,0.191891012,0.306836791,0.38213377,0.247678349,0.44749155,0.059918164,GABRIELA CASALE GUERRA,MIGUEL FELIPE MERY AYUP,JOSE ANGEL PEREZ HERNANDEZ,0.36873825,0.041745,-0.055787337,-0.140654759,0.322215606
7,5,PRI,0.187749087,0.329391191,0.302116199,0.195556249,0.492274321,0.043360373,MARIO ALBERTO GONZALEZ AGUILERA,FERNANDO DONATO DE LAS FUENTES HERNANDEZ,MARIA DEL ROSARIO ALVARADO ESTRADA,0.337968667,0.027533333,-0.007807162,-0.16288313,0.258755826
1,6,MORENA,0.176238169,0.229644508,0.309228483,0.281980633,0.262089243,0.01479372,MARTHA MARIA ZEPEDA DEL TORO,MELY ROMERO CELIS,CLAUDIA VALERIA YAÑEZ CENTENO Y CABRERA,0.3535704,0.0288794,-0.105742464,-0.032444735,0.294434763
2,6,MORENA,0.120833361,0.151751506,0.436039188,0.400782657,0.328318155,0.026792625,CICERON ALEJANDRO MANCILLA GONZALEZ,FRANCISCO ALBERTO ZEPEDA GONZALEZ,INDIRA VIZCAINO SILVA,0.4684042,0.067923,-0.279949296,-0.176566649,0.409246563
1,7,MORENA,0.02277969,0.080606344,0.416903433,0.020729868,0.132177165,0.090232263,JUAN GABRIEL ROBLES BALLINAS,NA,MANUELA DEL CARMEN OBRADOR NARVAEZ,0.849740375,0.448915125,0.002049822,-0.051570821,0.32667117
2,7,MORENA,0.032729577,0.222522655,0.273291398,0.012852536,0.386264892,0.035847828,SONIA RODRIGUEZ HERNANDEZ,HUMBERTO PEDRERO MORENO,ANTONIO VALDEZ WENDO,0.946436556,0.569940889,0.019877041,-0.163742237,0.23744357
3,7,MORENA,0.018401384,0.10272989,0.380665462,0.037173349,0.231401187,0.061470037,BRUNO DE JESUS HERRERA MONZON,FABIOLA RICCI DIESTEL,ALFREDO VAZQUEZ VAZQUEZ,0.9050756,0.5319006,-0.018771965,-0.128671297,0.319195425
4,7,MORENA,0.052216723,0.119108045,0.438010741,0.028274737,0.303539738,0.034765856,JUAN JOSE RODRIGUEZ PRATS,JORGE MANUEL PULIDO LOPEZ,ROQUE LUIS RABELO VELASCO,0.784261955,0.287192091,0.023941986,-0.184431693,0.403244885
5,7,MORENA,0.032307708,0.21670908,0.441630875,0.022673951,0.328263687,0.045979557,ENRIQUE GOMEZ HERNANDEZ,NA,CLEMENTINA MARTA DEKKER GOMEZ,0.9164375,0.562116333,0.009633757,-0.111554607,0.395651318
6,7,MORENA,0.048159323,0.075970053,0.51273633,0.047676051,0.226841518,0.109032978,NEREYDA SALDAÑA GALLEGOS,SANDRA LUZ CRUZ ESPINOSA,ZOE ALEJANDRO ROBLEDO ABURTO,0.727175571,0.293681429,0.000483272,-0.150871465,0.403703352
7,7,MORENA,0.043446866,0.119509197,0.448822326,0.065741024,0.177281876,0.059480416,MARGOT DE LOS SANTOS LARA,RACIEL LOPEZ SALAZAR,MIGUEL PRADO DE LOS SANTOS,0.717528444,0.216263667,-0.022294158,-0.057772679,0.38934191
8,7,MORENA,0.022269213,0.158155367,0.377614557,0.013563484,0.22580168,0.043116199,DANIEL SANCHEZ MARTINEZ,JUAN CARLOS GOMEZ ARANDA,MARIA ROSELIA JIMENEZ PEREZ,0.833763375,0.376279,0.008705729,-0.067646313,0.334498358
9,7,MORENA,0.078368108,0.051613762,0.620133362,0.07547679,0.156292164,0.125500492,CLAUDIA DE LOS ANGELES TRUJILLO RINCON,GLORIA MICLOS RAMIREZ,LETICIA ARLETT AGUILAR MOLINA,0.419258,0.066996,0.002891318,-0.104678402,0.49463287
10,7,MORENA,0.018686504,0.138793852,0.361938542,0.037197369,0.198457457,0.060335515,MIREYDA ALEMAN ESCARPULLI,JORGE ALBERTO BETANCOURT ESPONDA,JUAN ENRIQUE FARRERA ESPONDA,0.818804571,0.315137,-0.018510865,-0.059663605,0.301603027
11,7,PVEM,0.013045703,0.139211709,0.227504485,0.008839073,0.153827139,0.017081487,MYRIAM CECILIA SANCHEZ BARRON,NA,YANET MARTINEZ DOMINGUEZ,0.9085137,0.5306056,0.00420663,-0.01461543,0.210422998
12,7,MORENA,0.065046131,0.097990479,0.559000716,0.133123039,0.208392758,0.101838957,MARIA DE LOURDES SANTOS ZOZAYA,RUBEN PEÑALOZA GONZALEZ,JOSE LUIS ELORZA FLORES,0.684345429,0.225348857,-0.068076908,-0.110402279,0.457161759
13,7,MORENA,0.033354378,0.164004104,0.339986922,0.02797735,0.224964662,0.032928798,MARITOÑA CALDERON MERIDA,JOSE ODILON RUIZ SANCHEZ,MARICRUZ ROBLERO GORDILLO,0.824578769,0.281004,0.005377028,-0.060960558,0.307058124
1,8,MORENA,0.113085655,0.101540099,0.432837471,0.156875834,0.28240829,0.108462076,CARLOS FERNANDO ANGULO PARRA,ADRIANA FUENTES TELLEZ,MARIA ESTHER MEJIA CRUZ,0.264178,0.010734,-0.043790179,-0.180868191,0.324375395
2,8,MORENA,0.157282793,0.142315843,0.302251007,0.173362984,0.384246139,0.065860306,LUIS JAVIER MENDOZA VALDEZ,GERARDO ALBERTO FIERRO GARCIA,TERESITA DE JESUS VARGAS MERAZ,0.4039582,0.0279877,-0.016080191,-0.241930296,0.236390701
3,8,MORENA,0.109101218,0.163714828,0.318483577,0.141308689,0.355351412,0.082691751,LUCERO NIETO ROMERO,LILIA GUADALUPE MERODIO REZA,CLAUDIA ELENA LASTRA MUÑOZ,0.264178,0.010734,-0.032207471,-0.191636584,0.235791826
4,8,MORENA,0.226605834,0.145792894,0.302872943,0.267373392,0.240131346,0.095225548,DANIELA SORAYA ÁLVAREZ HERNÁNDEZ,HIRAM HERNANDEZ ZETINA,ULISES GARCIA SOTO,0.264178,0.010734,-0.040767558,-0.094338452,0.207647395
5,8,PAN,0.316780091,0.19507673,0.250628382,0.309422073,0.408444833,0.045623261,MARIO MATA CARRASCO,MARTIN ANTONIO VALDIVIA GONZALEZ,ROSARIO GUADALUPE CHAVEZ VALLES,0.336985143,0.013572571,0.007358018,-0.213368103,0.205005121
6,8,PAN,0.442308581,0.149595675,0.225775149,0.335149123,0.259609196,0.063371264,MIGUEL ALONSO RIGGS BAEZA,MONICA MELENDEZ RAMIREZ,MARCELINO GOMEZ BRENES,0.195908,0.006228,0.107159458,-0.110013521,0.162403885
7,8,MORENA,0.241159335,0.206658392,0.307093754,0.245133136,0.427431728,0.040253202,RAFAEL FRANCISCO JAIME NUÑEZ,NEIL MARTIN PEREZ CAMPOS,ERACLIO RODRIGUEZ GOMEZ,0.562669353,0.123918765,-0.003973801,-0.220773336,0.266840552
8,8,PAN,0.350696727,0.159200955,0.259432102,0.259306163,0.285663403,0.068346776,ALAN JESUS FALOMIR SAENZ,MINERVA CASTILLO RODRIGUEZ,AMERICA VICTORIA AGUILAR GIL,0.195908,0.006228,0.091390564,-0.126462448,0.191085326
9,8,PRI,0.287333621,0.296880529,0.162490431,0.214711688,0.507906494,0.023283117,MARIA DE LOS ANGELES GUTIERREZ VALDEZ,GRACIELA ORTIZ GONZALEZ,MARIA ELENA ROJO ALMARAZ,0.5875217,0.11368145,0.072621933,-0.211025965,0.139207314
1,9,MORENA,0.089226084,0.066292263,0.508381399,0.085976187,0.087878204,0.272114087,LAURA SANDRA MORALES RUIZ,MARIBEL GUADALUPE VILLASEÑOR DAVILA,ERIKA VANESSA DEL CASTILLO IBARRA,0.283919,0.011481,0.003249897,-0.021585941,0.236267312
2,9,MORENA,0.163528919,0.102773531,0.429272627,0.1716615,0.115123563,0.237863768,RICARDO DAVID CHÁVEZ RÍOS,ARACELI GARCIA RICO,ARMANDO GONZALEZ ESCOTO,0.283919,0.011481,-0.008132581,-0.012350032,0.191408859
3,9,MORENA,0.177602348,0.088052731,0.447539472,0.156045009,0.123252586,0.248581186,FERNANDO CUELLAR REYES,MARTIN MORALES MELCHOR,MIGUEL ANGEL JAUREGUI MONTES DE OCA,0.194524,0.005327,0.021557339,-0.035199855,0.198958286
4,9,MORENA,0.092571434,0.063297719,0.491291996,0.068406249,0.074522243,0.294478958,FERNANDO BELAUNZARAN MENDEZ,GRECIA SAMANTHA HERNANDEZ MARTINEZ,JOSE GERARDO RODOLFO FERNANDEZ NOROÑA,0.349561,0.0172,0.024165185,-0.011224524,0.196813038
5,9,MORENA,0.198129059,0.095432734,0.432123086,0.173243201,0.1010498,0.25630142,LOURDES VALDEZ CUEVAS,FRANCISCO RAMON VASSALLO DOMINGUEZ,CLAUDIA LOPEZ RAYON,0.320647,0.017875,0.024885858,-0.005617066,0.175821666
6,9,MORENA,0.206329321,0.14289888,0.385035923,0.182187606,0.16719579,0.19777204,ERNESTO SANCHEZ RODRIGUEZ,MARIA CRISTINA VELAZQUEZ VALENZUELA,SERGIO MAYER BRETON,0.302275,0.011991,0.024141715,-0.02429691,0.187263883
7,9,MORENA,0.103101608,0.085716479,0.448028866,0.088171056,0.127542712,0.270871566,RICARDO JANECARLO LOZANO REYNOSO,MARIA DEL ROSARIO SOLIS HERNANDEZ,BEATRIZ ROJAS MARTÍNEZ,0.283919,0.011481,0.014930552,-0.041826233,0.1771573
8,9,MORENA,0.115502433,0.117980934,0.442728926,0.086105211,0.153721833,0.245995549,ESTHER MARTHA CHAVARRIA,ADRIANHA RANGEL FLORES,MARIA DE JESUS ROSETE SANCHEZ,0.1940475,0.006763,0.029397222,-0.035740899,0.196733377
9,9,MORENA,0.082400689,0.085408944,0.492961194,0.061313651,0.114958449,0.291537303,ALEJANDRO LOPEZ VILLANUEVA,MARCO ANTONIO ZALDIVAR ESPEJEL,ADRIANA MARIA GUADALUPE ESPINOSA DE LOS MONTEROS GARCIA,0.391628,0.013421,0.021087038,-0.029549505,0.201423891
10,9,MORENA,0.305623645,0.107212734,0.367760656,0.267821741,0.106489895,0.152238559,MARIANA GOMEZ DEL CAMPO GURZA,DANIEL VERDUGO TORRES,JAVIER ARIEL HIDALGO PONCE,0.070901,0.001288,0.037801904,0.000722839,0.215522097
11,9,MORENA,0.117420876,0.089676228,0.417390023,0.098874941,0.107969729,0.190915692,ELENA EDITH SEGURA TREJO,CESAR AUGUSTO REYES ORTEGA,ROCIO BARRERA BADILLO,0.227627,0.006747,0.018545935,-0.018293501,0.226474331
12,9,MORENA,0.193065457,0.124996261,0.431686525,0.149225529,0.154044634,0.246449185,DALIA ITZEL BRAVO MARTINEZ,FELIPE DE JESUS MUÑOZ KAPAMAS,MARIA DE LOS DOLORES PADIERNA LUNA,0.160468,0.006779,0.043839928,-0.029048373,0.18523734
13,9,MORENA,0.119938407,0.084948392,0.463698788,0.102004878,0.11269047,0.231514523,DAVID RICARDO NAVA MARTINEZ,GABRIELA BERENICE OLIVA MARTINEZ,MARIO MARTIN DELGADO CARRILLO,0.170639,0.004023,0.017933529,-0.027742078,0.232184265
14,9,MORENA,0.163155764,0.084855717,0.466419931,0.155671296,0.092987163,0.279513889,HECTOR HUGO HERNANDEZ RODRIGUEZ,KARINA REYES GUILLEN,ALFONSO RAMIREZ CUELLAR,0.320647,0.017875,0.007484468,-0.008131446,0.186906042
15,9,PAN,0.36239443,0.12302486,0.321983197,0.342002428,0.108565009,0.191986423,LUIS ALBERTO MENDOZA ACEVEDO,FRANCISCO EDUARDO MORENO MERCADILLO,AUSENCIO CRUZ ANTILLON,0.049701,0.001437,0.020392002,0.014459851,0.129996774
16,9,MORENA,0.158839815,0.087035456,0.421822039,0.14152943,0.10152739,0.21548076,POLIMNIA ROMANA SIERRA BARCENA,JORGE AGUSTIN ZEPEDA CRUZ,SILVIA LORENA VILLAVICENCIO AYALA,0.278806,0.010719,0.017310385,-0.014491934,0.206341279
17,9,MORENA,0.208330025,0.168073676,0.356489445,0.201749338,0.176976637,0.160058695,LESLIE STAINES FORMOSO,ISRAEL BETANZOS CORTES,FRANCISCO JAVIER SALDIVAR CAMACHO,0.290061,0.0112625,0.006580687,-0.008902961,0.19643075
18,9,MORENA,0.130940168,0.081933648,0.435049298,0.112568489,0.096068562,0.262467192,REBECA PERALTA LEON,DAVID VALLE PERALTA,ANA MARIA RODRIGUEZ RUIZ,0.349561,0.0172,0.018371679,-0.014134914,0.172582106
19,9,MORENA,0.087785048,0.071463909,0.478885663,0.067400139,0.086339273,0.286564957,ABRIL YANNETTE TRUJILLO VAZQUEZ,ELIZABETH BELEM AGUILAR BRAVO,ALEIDA ALAVEZ RUIZ,0.349561,0.0172,0.020384909,-0.014875364,0.192320706
20,9,MORENA,0.072573224,0.072246386,0.481216845,0.046579469,0.097717004,0.256028537,PENELOPE CAMPOS GONZALEZ,SILVIA ESTHER PEREZ CEBALLOS,ANA KARINA ROJO PIMENTEL,0.349561,0.0172,0.025993755,-0.025470618,0.225188308
21,9,MORENA,0.072020367,0.097880646,0.490673778,0.047003791,0.178038551,0.2283168,OSCAR MEZA AGUILAR,JANY ROBLES ORTIZ,FLOR IVONE MORALES MIRANDA,0.4481445,0.0217895,0.025016576,-0.080157905,0.262356978
22,9,MORENA,0.054041441,0.046622012,0.481997677,0.030084297,0.060100818,0.300436311,NURY DELIA RUIZ OVANDO,MONSERRAT PEREZ CEDEÑO,VICTOR GABRIEL VARELA LOPEZ,0.349561,0.0172,0.023957144,-0.013478806,0.181561366
23,9,MORENA,0.162922245,0.083639349,0.428171734,0.143706924,0.098426731,0.216799396,CARLOS IVAN GUEVARA ROMERO,MELISSA GUADARRAMA LARA,PABLO GÓMEZ ALVAREZ,0.197799,0.005838,0.019215321,-0.014787382,0.211372338
24,9,MORENA,0.19918809,0.103645411,0.390068832,0.19163906,0.112444652,0.2194042,WENDY GONZALEZ URRUTIA,MONICA IRMA ARANA SORIANO,GUADALUPE RAMOS SOTELO,0.301234,0.0149005,0.00754903,-0.008799241,0.170664632
1,10,PRI,0.241931632,0.256430813,0.222690366,0.160604935,0.47221454,0.04692673,ROSA ISELA DE LA ROCHA NEVAREZ,ADAN SORIA RAMIREZ,MARTHA OLIVIA GARCIA VIDAÑA,0.627135083,0.15272475,0.081326697,-0.215783727,0.175763636
2,10,MORENA,0.237462194,0.195472876,0.375335164,0.171577377,0.512377575,0.059304319,AUGUSTO FERNANDO AVALOS LONGORIA,ANAVEL FERNANDEZ MARTINEZ,ALMA MARINA VITELA RODRIGUEZ,0.552145,0.0743712,0.065884817,-0.316904699,0.316030845
3,10,MORENA,0.219469786,0.225750542,0.289851034,0.172710634,0.474673373,0.055437338,JESUS EDMUNDO RAVELO DUARTE,CARLOS MATUK LOPEZ DE NAVA,MARIBEL AGUILERA CHAIREZ,0.546982882,0.034568471,0.046759152,-0.248922831,0.234413696
4,10,PAN,0.276599992,0.210725091,0.216897088,0.186328974,0.317926429,0.049010234,JORGE ALEJANDRO SALUM DEL PALACIO,PEDRO AVILA NEVAREZ,HILDA PATRICIA ORTEGA NAJERA,0.32193,0.00759,0.090271018,-0.107201338,0.167886854
